--- ==================================================================================================
--- Cuts                          Classifier   (  #signal, #backgr.)  Optimal-cut  S/sqrt(S+B)      NSig      NBkg   EffSig   EffBkg
--- --------------------------------------------------------------------------------------------------
--- smallTheta_l2Eta       BDTG:  (        6,    12000)      -0.7822    0.0547593         6  11999.67        1        1
--- comPhi_l2Eta       BDTG:  (        6,    12000)      -0.6901    0.0547611         6   11998.9        1   0.9999
--- GEta_comPhi       BDTG:  (        6,    12000)      -0.7017    0.0547644         6  11997.46        1   0.9998
--- smallTheta_comPhi       BDTG:  (        6,    12000)      -0.6230    0.0547799  5.993134  11963.24   0.9989   0.9969
--- smallTheta_comPhi_GEta       BDTG:  (        6,    12000)      -0.6552    0.0547868  5.986825  11935.05   0.9978   0.9946
--- comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6219    0.0547911   5.99354  11959.94   0.9989   0.9967
--- smallTheta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.6440    0.0547962  5.998838  11978.87   0.9998   0.9982
--- smallTheta_comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6346     0.054798  5.988821  11938.12   0.9981   0.9948
--- smallTheta_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6056    0.0547991  5.974537  11880.72   0.9958   0.9901
--- l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5904    0.0548019  5.982512  11911.27   0.9971   0.9926
--- smallTheta_GEta       BDTG:  (        6,    12000)      -0.6672    0.0548068  5.996849  11966.31   0.9995   0.9972
--- comPhi_l1Eta       BDTG:  (        6,    12000)      -0.5464    0.0548343  5.955292  11789.14   0.9925   0.9824
--- smallTheta_l1Eta       BDTG:  (        6,    12000)      -0.6164    0.0548618  5.993551  11929.18   0.9989   0.9941
--- smallTheta_l2Eta_GEta       BDTG:  (        6,    12000)      -0.5710    0.0549032  5.870662  11427.63   0.9784   0.9523
--- smallTheta_comPhi_l2Eta_GEta       BDTG:  (        6,    12000)      -0.5616    0.0549887  5.866791  11377.05   0.9778   0.9481
--- GEta_l2Eta       BDTG:  (        6,    12000)      -0.6106    0.0550846    5.9177  11535.15   0.9863   0.9613
--- bigTheta_comPhi       BDTG:  (        6,    12000)      -0.5166    0.0556672  5.701649  10484.95   0.9503   0.8737
--- GEta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.5627    0.0556678   5.78286  10785.62   0.9638   0.8988
--- smallTheta_comPhi_l1Eta_GEta       BDTG:  (        6,    12000)      -0.5162    0.0557662  5.725415  10535.05   0.9542   0.8779
--- smallTheta_bigTheta_comPhi       BDTG:  (        6,    12000)      -0.5740    0.0558176  5.782554  10726.62   0.9638   0.8939
--- bigTheta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.5494    0.0558368  5.721204  10492.93   0.9535   0.8744
--- GEta_l1Eta       BDTG:  (        6,    12000)      -0.5299     0.055859  5.655515  10245.16   0.9426   0.8538
--- GEta_bigTheta_comPhi       BDTG:  (        6,    12000)      -0.6315    0.0558997  5.821591  10840.06   0.9703   0.9033
--- smallTheta_bigTheta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.5510    0.0559045  5.736465  10523.44   0.9561    0.877
--- smallTheta_bigTheta       BDTG:  (        6,    12000)      -0.5281    0.0559064  5.685844  10337.79   0.9476   0.8615
--- smallTheta_bigTheta_l2Eta       BDTG:  (        6,    12000)      -0.5574    0.0559154   5.73579  10516.87    0.956   0.8764
--- smallTheta_comPhi_l2Eta_l1Eta_GEta       BDTG:  (        6,    12000)      -0.5103     0.055916  5.728515  10489.99   0.9548   0.8742
--- comPhi_threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)      -0.5239    0.0559197  5.527563  9765.453   0.9213   0.8138
--- GEta_bigTheta       BDTG:  (        6,    12000)      -0.6019    0.0559295  5.783711  10687.98    0.964   0.8907
--- GEta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.5247    0.0559333  5.433205  9430.209   0.9055   0.7859
--- smallTheta_l1Eta_GEta       BDTG:  (        6,    12000)      -0.5041     0.055946  5.660985  10233.06   0.9435   0.8528
--- smallTheta_bigTheta_GEta       BDTG:  (        6,    12000)      -0.6642    0.0559497  5.871973  11008.82   0.9787   0.9174
--- smallTheta_bigTheta_comPhi_GEta       BDTG:  (        6,    12000)      -0.5890    0.0559653  5.781063  10664.56   0.9635   0.8887
--- bigTheta_l1Eta       BDTG:  (        6,    12000)      -0.7055    0.0559741  5.947797  11285.19   0.9913   0.9404
--- smallTheta_bigTheta_l2Eta_comPhi_GEta       BDTG:  (        6,    12000)      -0.5850    0.0560088  5.764883  10588.42   0.9608   0.8824
--- GEta_bigTheta_comPhi_l2Eta       BDTG:  (        6,    12000)      -0.5680    0.0560334  5.711144  10382.79   0.9519   0.8652
--- smallTheta_bigTheta_comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5812    0.0560401  5.782967  10643.09   0.9638   0.8869
--- bigTheta_comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6362    0.0560434  5.861077  10931.33   0.9768   0.9109
--- GEta_comPhi_threeBodyPtOM       BDTG:  (        6,    12000)      -0.5157    0.0560554  5.402352  9282.786   0.9004   0.7736
--- smallTheta_threeBodyPtOM_GEta       BDTG:  (        6,    12000)      -0.4808    0.0560555   5.26418  8813.848   0.8774   0.7345
--- comPhi_threeBodyPtOM_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6040    0.0560576  5.767745  10580.51   0.9613   0.8817
--- smallTheta_comPhi_threeBodyPtOM_GEta       BDTG:  (        6,    12000)      -0.4694    0.0560672  5.184513  8545.436   0.8641   0.7121
--- threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)      -0.5732     0.056068  5.666396  10208.07   0.9444   0.8507
--- bigTheta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.5470    0.0560934  5.727351  10419.47   0.9546   0.8683
--- smallTheta_bigTheta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.5678    0.0560976  5.768838  10569.42   0.9615   0.8808
--- bigTheta_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6561    0.0560985  5.907707  11084.17   0.9846   0.9237
--- smallTheta_bigTheta_l2Eta_GEta       BDTG:  (        6,    12000)      -0.6248     0.056103  5.837126  10819.11   0.9729   0.9016
--- comPhi_threeBodyPtOM       BDTG:  (        6,    12000)      -0.5038    0.0561085  5.524295  9688.326   0.9207   0.8074
--- smallTheta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.5432    0.0561191  5.621353  10028.06   0.9369   0.8357
--- comPhi_threeBodyPtOM_l1Eta       BDTG:  (        6,    12000)      -0.5322    0.0561507  5.565339  9818.083   0.9276   0.8182
--- GEta_bigTheta_l2Eta       BDTG:  (        6,    12000)      -0.6513    0.0561613  5.838835  10802.99   0.9731   0.9002
--- smallTheta_comPhi_threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)      -0.5527    0.0561926  5.635612  10052.64   0.9393   0.8377
--- smallTheta_bigTheta_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5723    0.0561928  5.769117  10534.65   0.9615   0.8779
--- smallTheta_comPhi_threeBodyPtOM       BDTG:  (        6,    12000)      -0.5426    0.0562215  5.605933  9936.802   0.9343   0.8281
--- l1Eta_threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)      -0.5223    0.0562339  5.513402  9607.143   0.9189   0.8006
--- smallTheta_l1Eta_l2Eta_GEta       BDTG:  (        6,    12000)      -0.4778    0.0562647  5.591566  9870.729   0.9319   0.8226
--- l1Eta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.5434    0.0562713  5.595565  9882.525   0.9326   0.8235
--- GEta_comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5412     0.056285   5.83115   10727.2   0.9719   0.8939
--- GEta_bigTheta_comPhi_l1Eta       BDTG:  (        6,    12000)      -0.6617    0.0563438  5.873489  10860.87   0.9789   0.9051
--- GEta_bigTheta_l1Eta       BDTG:  (        6,    12000)      -0.5240     0.056396  5.551913   9685.91   0.9253   0.8072
--- smallTheta_comPhi_threeBodyPtOM_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5292    0.0564512  5.535937  9611.386   0.9227   0.8009
--- smallTheta_bigTheta_l1Eta_GEta       BDTG:  (        6,    12000)      -0.5172    0.0565069  5.565952  9696.754   0.9277   0.8081
--- smallTheta_comPhi_l2Eta_threeBodyPtOM_GEta       BDTG:  (        6,    12000)      -0.4901     0.056516  5.315908  8842.014    0.886   0.7368
--- GEta_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5234    0.0566308  5.768208  10368.95   0.9614   0.8641
--- smallTheta_l2Eta_threeBodyPtOM_GEta       BDTG:  (        6,    12000)      -0.5373    0.0566343  5.532319    9536.8   0.9221   0.7947
--- GEta_bigTheta_comPhi_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5455    0.0566487   5.66536  9996.057   0.9442    0.833
--- comPhi_l2Eta_GEta_bigTheta_smallTheta_l1Eta       BDTG:  (        6,    12000)      -0.5439    0.0566787  5.687415  10063.39   0.9479   0.8386
--- GEta_bigTheta_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.6484    0.0567527  5.889341  10762.74   0.9816   0.8969
--- smallTheta_threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)       0.6865     0.056783  0.003224313         0 0.0005374        0
--- smallTheta_bigTheta_l2Eta_l1Eta_GEta       BDTG:  (        6,    12000)      -0.5814     0.056816  5.780766  10346.35   0.9635   0.8622
--- smallTheta_bigTheta_comPhi_l1Eta_GEta       BDTG:  (        6,    12000)       0.2444    0.0570223  0.003251538         0 0.0005419        0
--- GEta_comPhi_threeBodyPtOM_l1Eta       BDTG:  (        6,    12000)      -0.5289    0.0573702   5.49678  9174.523   0.9161   0.7645
--- GEta_bigTheta_comPhi_threeBodyPtOM       BDTG:  (        6,    12000)      -0.5390    0.0574607  5.423142  8902.154   0.9039   0.7418
--- bigTheta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.5341      0.05755  5.421172  8868.083   0.9035    0.739
--- smallTheta_comPhi_threeBodyPtOM_l1Eta_GEta       BDTG:  (        6,    12000)      -0.4853    0.0576533  5.322199  8516.514    0.887   0.7097
--- comPhi_threeBodyPtOM_l2Eta_GEta_bigTheta_smallTheta       BDTG:  (        6,    12000)      -0.5040    0.0576733  5.263911  8325.155   0.8773   0.6938
--- smallTheta_bigTheta_GEta_comPhi_threeBodyPtOM       BDTG:  (        6,    12000)      -0.5622     0.057691  5.515583  9134.932   0.9193   0.7612
--- smallTheta_bigTheta_l2Eta_threeBodyPtOM_GEta       BDTG:  (        6,    12000)      -0.5423    0.0577246  5.419417  8808.796   0.9032   0.7341
--- GEta_bigTheta_threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)      -0.6095    0.0578128  5.681908  9653.493    0.947   0.8045
--- GEta_bigTheta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.5670    0.0578346  5.523796  9116.688   0.9206   0.7597
--- GEta_l1Eta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.4094    0.0578468  4.906195  7188.435   0.8177    0.599
--- bigTheta_threeBodyPtOM_l1Eta       BDTG:  (        6,    12000)      -0.4869    0.0578696  5.265192  8272.779   0.8775   0.6894
--- comPhi_threeBodyPtOM_l2Eta_GEta_l1Eta_smallTheta       BDTG:  (        6,    12000)      -0.4963    0.0578709  5.413865   8746.32   0.9023   0.7289
--- GEta_comPhi_threeBodyPtOM_l1Eta_l2Eta       BDTG:  (        6,    12000)      -0.5058    0.0580244  5.458409  8843.893   0.9097    0.737
--- GEta_bigTheta_comPhi_l1Eta_threeBodyPtOM       BDTG:  (        6,    12000)      -0.4757    0.0580619  5.169263  7921.215   0.8615   0.6601
--- GEta_l1Eta_threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)      -0.5041    0.0582054  5.447053  8752.378   0.9078   0.7294
--- comPhi_threeBodyPtOM_GEta_bigTheta_smallTheta_l1Eta       BDTG:  (        6,    12000)      -0.5730    0.0582464  5.590799  9207.603   0.9318   0.7673
--- smallTheta_l1Eta_l2Eta_threeBodyPtOM_GEta       BDTG:  (        6,    12000)      -0.4943    0.0582995  5.411783  8611.483    0.902   0.7176
--- comPhi_threeBodyPtOM_l2Eta_GEta_bigTheta_smallTheta_l1Eta       BDTG:  (        6,    12000)      -0.4506    0.0583597  5.056772  7502.886   0.8428   0.6252
--- smallTheta_bigTheta_threeBodyPtOM_l1Eta_GEta       BDTG:  (        6,    12000)      -0.5117    0.0585792  5.346979  8326.283   0.8912   0.6939
--- GEta_bigTheta_l2Eta_comPhi_threeBodyPtOM       BDTG:  (        6,    12000)       0.7708    0.0589185  0.00347139         0 0.0005786        0
--- smallTheta_bigTheta_threeBodyPtOM_GEta       BDTG:  (        6,    12000)       0.7988    0.0599142  0.003589716         0 0.0005983        0
--- bigTheta_comPhi_threeBodyPtOM       BDTG:  (        6,    12000)       0.8106    0.0599948  0.003599374         0 0.0005999        0
--- smallTheta_bigTheta_comPhi_threeBodyPtOM       BDTG:  (        6,    12000)       0.8039    0.0605867  0.003670744         0 0.0006118        0
--- GEta_comPhi_threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)       0.7184    0.0651189  0.004240467         0 0.0007067        0
--- bigTheta_l2Eta       BDTG:  (        6,    12000)       0.0006    0.0655458  0.004296246         0 0.000716        0
--- GEta_bigTheta_threeBodyPtOM_l1Eta       BDTG:  (        6,    12000)       0.7870    0.0675246  0.004559568         0 0.0007599        0
--- smallTheta_bigTheta_l2Eta_comPhi_threeBodyPtOM       BDTG:  (        6,    12000)       0.7755    0.0689756  0.004757637         0 0.0007929        0
--- bigTheta_comPhi_l1Eta_threeBodyPtOM       BDTG:  (        6,    12000)       0.7940    0.0693569  0.004810377         0 0.0008017        0
--- bigTheta_l2Eta_comPhi_threeBodyPtOM       BDTG:  (        6,    12000)       0.7896    0.0697206  0.004860962         0 0.0008102        0
--- comPhi_threeBodyPtOM_l2Eta_bigTheta_smallTheta_l1Eta       BDTG:  (        6,    12000)       0.7437    0.0698543  0.004879624         0 0.0008133        0
--- comPhi_threeBodyPtOM_l2Eta_GEta_bigTheta_l1Eta       BDTG:  (        6,    12000)       0.7429    0.0749811  0.005622173         0 0.000937        0
--- bigTheta_threeBodyPtOM_l1Eta_l2Eta       BDTG:  (        6,    12000)       0.7774    0.0758802  0.005757805         0 0.0009596        0
--- GEta_comPhi_l2Eta       BDTG:  (        6,    12000)       0.2169    0.0761835  0.005803922         0 0.0009673        0
--- threeBodyPtOM_l2Eta_GEta_bigTheta_smallTheta_l1Eta       BDTG:  (        6,    12000)       0.7659    0.0773914  0.005989429         0 0.0009982        0
--- smallTheta_bigTheta_threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)       0.7933    0.0776301  0.006026428         0 0.001004        0
--- smallTheta_l1Eta_threeBodyPtOM_GEta       BDTG:  (        6,    12000)       0.7038    0.0777283  0.006041681         0 0.001007        0
--- smallTheta_bigTheta_threeBodyPtOM       BDTG:  (        6,    12000)       0.8273    0.0779484  0.006075949         0 0.001013        0
--- GEta_bigTheta_threeBodyPtOM_l1Eta_l2Eta       BDTG:  (        6,    12000)       0.7616    0.0801357  0.006421726         0  0.00107        0
--- GEta_threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)       0.6651    0.0844568  0.007132953         0 0.001189        0
--- smallTheta_comPhi_l2Eta       BDTG:  (        6,    12000)       0.1766    0.0859224  0.007382664         0  0.00123        0
--- smallTheta_comPhi_threeBodyPtOM_l1Eta       BDTG:  (        6,    12000)       0.6784    0.0880573  0.007754087         0 0.001292        0
--- smallTheta_bigTheta_comPhi_l1Eta_threeBodyPtOM       BDTG:  (        6,    12000)       0.7528    0.0967194  0.009354647         0 0.001559        0
--- smallTheta_bigTheta_threeBodyPtOM_l1Eta       BDTG:  (        6,    12000)       0.7705    0.0970209  0.009413057         0 0.001569        0
--- bigTheta_l2Eta_comPhi_l1Eta_threeBodyPtOM       BDTG:  (        6,    12000)       0.7702    0.0971643  0.009440893         0 0.001573        0
--- smallTheta_bigTheta_threeBodyPtOM_l1Eta_l2Eta       BDTG:  (        6,    12000)       0.7597     0.103366  0.01068457         0 0.001781        0
--- smallTheta_bigTheta_l1Eta       BDTG:  (        6,    12000)       0.0784     0.105945  0.0112244         0 0.001871        0
--- bigTheta_threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)       0.8042     0.110263  0.01215788         0 0.002026        0
--- smallTheta_l1Eta_threeBodyPtOM       BDTG:  (        6,    12000)       0.6970     0.116161  0.01349339         0 0.002249        0
--- smallTheta_l1Eta_threeBodyPtOM_l2Eta       BDTG:  (        6,    12000)       0.6756     0.131684  0.01734057         0  0.00289        0
